     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.5100000000E+08    0.5014431023E+00    0.3538515630E+00
    0.5300000000E+08    0.5049131424E+00    0.3557503404E+00
    0.5500000000E+08    0.5083123682E+00    0.3576216159E+00
    0.5700000000E+08    0.5116431309E+00    0.3594657430E+00
    0.5900000000E+08    0.5149076531E+00    0.3612831030E+00
    0.6100000000E+08    0.5181080406E+00    0.3630740986E+00
    0.6300000000E+08    0.5212462923E+00    0.3648391480E+00
    0.6500000000E+08    0.5243243090E+00    0.3665786812E+00
    0.6700000000E+08    0.5273439014E+00    0.3682931352E+00
    0.6900000000E+08    0.5303067966E+00    0.3699829522E+00
    0.7100000000E+08    0.5332146441E+00    0.3716485761E+00
    0.7300000000E+08    0.5360690213E+00    0.3732904511E+00
    0.7500000000E+08    0.5388714386E+00    0.3749090201E+00
    0.7700000000E+08    0.5416233429E+00    0.3765047226E+00
    0.7900000000E+08    0.5443261226E+00    0.3780779946E+00
    0.8100000000E+08    0.5469811102E+00    0.3796292669E+00
    0.8300000000E+08    0.5495895861E+00    0.3811589647E+00
    0.8500000000E+08    0.5521527816E+00    0.3826675071E+00
    0.8700000000E+08    0.5546718811E+00    0.3841553067E+00
    0.8900000000E+08    0.5571480252E+00    0.3856227686E+00
    0.9100000000E+08    0.5595823128E+00    0.3870702911E+00
    0.9300000000E+08    0.5619758030E+00    0.3884982649E+00
    0.9500000000E+08    0.5643295176E+00    0.3899070730E+00
    0.9700000000E+08    0.5666444425E+00    0.3912970907E+00
    0.9900000000E+08    0.5689215295E+00    0.3926686857E+00
    0.1000000000E+08    0.4077481112E+00    0.3099378972E+00
    0.3000000000E+08    0.4599845659E+00    0.3322202812E+00
    0.5000000000E+08    0.4996807536E+00    0.3528917602E+00
    0.7000000000E+08    0.5317675011E+00    0.3708187605E+00
    0.9000000000E+08    0.5583703339E+00    0.3863489977E+00
    0.1100000000E+09    0.5808087371E+00    0.3998988502E+00
    0.1300000000E+09    0.5999892112E+00    0.4118208183E+00
    0.1500000000E+09    0.6165661660E+00    0.4223968100E+00
    0.1700000000E+09    0.6310273357E+00    0.4318501567E+00
    0.1900000000E+09    0.6437449419E+00    0.4403584466E+00
    0.2100000000E+09    0.6550084957E+00    0.4480640276E+00
    0.2300000000E+09    0.6650467842E+00    0.4550820644E+00
    0.2500000000E+09    0.6740430972E+00    0.4615066105E+00
    0.2700000000E+09    0.6821460447E+00    0.4674151792E+00
    0.2900000000E+09    0.6894774056E+00    0.4728722031E+00
    0.3100000000E+09    0.6961379272E+00    0.4779316739E+00
    0.3300000000E+09    0.7022116771E+00    0.4826391733E+00
    0.3500000000E+09    0.7077693545E+00    0.4870334519E+00
    0.3700000000E+09    0.7128708420E+00    0.4911476660E+00
    0.3900000000E+09    0.7175671937E+00    0.4950103566E+00
    0.4100000000E+09    0.7219021999E+00    0.4986462294E+00
    0.4300000000E+09    0.7259136307E+00    0.5020767826E+00
    0.4500000000E+09    0.7296342328E+00    0.5053208140E+00
    0.4700000000E+09    0.7330925344E+00    0.5083948364E+00
    0.4900000000E+09    0.7363135007E+00    0.5113134167E+00
    0.5100000000E+09    0.7393190706E+00    0.5140894573E+00
    0.5300000000E+09    0.7421285998E+00    0.5167344298E+00
    0.5500000000E+09    0.7447592279E+00    0.5192585697E+00
    0.5700000000E+09    0.7472261854E+00    0.5216710405E+00
    0.5900000000E+09    0.7495430505E+00    0.5239800722E+00
    0.6100000000E+09    0.7517219662E+00    0.5261930784E+00
    0.6300000000E+09    0.7537738236E+00    0.5283167565E+00
    0.6500000000E+09    0.7557084183E+00    0.5303571734E+00
    0.6700000000E+09    0.7575345838E+00    0.5323198388E+00
    0.6900000000E+09    0.7592603059E+00    0.5342097685E+00
    0.7100000000E+09    0.7608928214E+00    0.5360315397E+00
    0.7300000000E+09    0.7624387031E+00    0.5377893384E+00
    0.7500000000E+09    0.7639039337E+00    0.5394870010E+00
    0.7700000000E+09    0.7652939701E+00    0.5411280505E+00
    0.7900000000E+09    0.7666137994E+00    0.5427157287E+00
    0.8100000000E+09    0.7678679878E+00    0.5442530238E+00
    0.8300000000E+09    0.7690607241E+00    0.5457426954E+00
    0.8500000000E+09    0.7701958571E+00    0.5471872961E+00
    0.8700000000E+09    0.7712769293E+00    0.5485891913E+00
    0.8900000000E+09    0.7723072065E+00    0.5499505758E+00
    0.9100000000E+09    0.7732897040E+00    0.5512734898E+00
    0.9300000000E+09    0.7742272099E+00    0.5525598320E+00
    0.9500000000E+09    0.7751223058E+00    0.5538113722E+00
    0.9700000000E+09    0.7759773857E+00    0.5550297622E+00
    0.9900000000E+09    0.7767946721E+00    0.5562165457E+00
    0.1000000000E+09    0.5700461723E+00    0.3933476875E+00
